au_id,ARTICLES,DURATION,ARTIPERYEAR,DEGREE-I,DEGREE-O,CLOSS-I,CLOSS-O,BETT,HITS-HUB,HITS-AUT,SH-EFF,SH-ES,SH-CONSTR,SH-HIERARCHY
1,2,1,2,0,0.002,0,0.012,0,0,0,1,1,1,1
4,4,14,0.286,0.005,0,0.006,0,0,0,0,1,3,0.333,0
5,2,1,2,0,0.003,0,0.003,0,0,0.018,1,2,0.5,0
6,2,1,2,0.002,0,0.003,0,0,0,0,1,1,1,1
8,6,8,0.75,0.007,0.007,0.02,0.059,0.006,0,0.175,0.94,7.519,0.196,0.055
9,4,11,0.364,0.002,0.005,0.002,0.066,0.001,0.003,0.065,0.9,3.6,0.334,0.098
15,2,1,2,0,0.002,0,0.002,0,0,0,1,1,1,1
16,2,1,2,0,0.005,0,0.01,0,0,0,0.778,2.333,0.502,0.056
20,6,3,2,0.003,0.002,0.005,0.052,0.002,0,0,0.833,2.5,0.446,0.026
24,2,1,2,0.002,0,0.02,0,0,0,0,1,1,1,1
28,4,3,1.333,0.003,0,0.005,0,0,0,0,1,2,0.5,0
30,4,10,0.4,0.003,0.003,0.044,0.004,0.001,0.001,0,1,4,0.28,0.168
31,4,15,0.267,0.002,0.019,0.002,0.083,0.001,0,0.037,1,12,0.102,0.158
33,2,1,2,0.002,0,0.002,0,0,0.018,0,1,1,1,1
35,2,1,2,0.002,0,0.019,0,0,0,0,1,1,1,1
36,2,1,2,0.002,0,0.002,0,0,0.012,0,1,1,1,1
38,2,1,2,0.002,0,0.024,0,0,0,0,1,1,1,1
49,2,1,2,0.002,0,0.003,0,0,0,0,1,1,1,1
53,2,1,2,0.002,0,0.039,0,0,0,0,1,1,1,1
58,2,6,0.333,0,0.003,0,0.003,0,0,0.001,1,2,0.5,0
60,2,1,2,0,0.003,0,0.003,0,0,0.002,1,2,0.5,0
62,2,1,2,0.002,0,0.02,0,0,0,0,1,1,1,1
71,2,3,0.667,0.002,0,0.002,0,0,0.003,0,1,1,1,1
81,6,9,0.667,0.003,0.005,0.005,0.006,0,0.014,0.005,1,5,0.2,0
82,2,1,2,0.002,0,0.022,0,0,0.03,0,1,1,1,1
86,4,1,4,0.002,0.003,0.003,0.039,0,0.014,0.004,0.583,1.167,0.674,0.275
92,2,1,2,0.002,0,0.019,0,0,0,0,1,1,1,1
96,2,1,2,0,0.002,0,0.05,0,0,0.034,1,1,1,1
98,2,1,2,0.002,0,0.035,0,0,0.001,0,1,1,1,1
99,2,1,2,0,0.002,0,0.006,0,0,0.015,1,1,1,1
100,2,1,2,0.002,0,0.04,0,0,0.032,0,1,1,1,1
108,2,1,2,0.002,0,0.018,0,0,0,0,1,1,1,1
111,2,1,2,0.002,0,0.023,0,0,0.091,0,1,1,1,1
